vars,id,creation_time,failed,failed_reason,time_of_death,type,max_size,full,role,n_pending_infos,n_completed_infos,n_failed_infos,n_alive_nodes,n_failed_nodes,trial_maker_id,module_id,target_n_trials,participant_group,sync_group_type,sync_group_id,participant_id,async_post_grow_network_required,async_post_grow_network_requested,async_post_grow_network_complete,async_post_grow_network_failed,id_within_participant,n_all_trials,n_alive_trials,n_failed_trials,n_completed_trials,n_all_nodes,chain_type,head_id,trials_per_node,definition,context,block,class,object_type
{},84,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,13,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,13,13,0,13,1,across,84,1000000,{},,block-a,StaticNetwork,Network
{},85,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,85,1000000,{},,block-a,StaticNetwork,Network
{},86,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,86,1000000,{},,block-a,StaticNetwork,Network
{},87,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,87,1000000,{},,block-a,StaticNetwork,Network
{},88,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,88,1000000,{},,block-a,StaticNetwork,Network
{},89,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,89,1000000,{},,block-a,StaticNetwork,Network
{},90,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,90,1000000,{},,block-a,StaticNetwork,Network
{},91,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,91,1000000,{},,block-a,StaticNetwork,Network
{},92,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,13,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,13,13,0,13,1,across,92,1000000,{},,block-a,StaticNetwork,Network
{},93,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,93,1000000,{},,block-a,StaticNetwork,Network
{},94,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,94,1000000,{},,block-a,StaticNetwork,Network
{},95,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,95,1000000,{},,block-a,StaticNetwork,Network
{},96,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,96,1000000,{},,block-a,StaticNetwork,Network
{},97,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,97,1000000,{},,block-a,StaticNetwork,Network
{},98,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,98,1000000,{},,block-a,StaticNetwork,Network
{},99,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,99,1000000,{},,block-a,StaticNetwork,Network
{},100,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,100,1000000,{},,block-a,StaticNetwork,Network
{},101,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,13,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,13,13,0,13,1,across,101,1000000,{},,block-a,StaticNetwork,Network
{},102,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,102,1000000,{},,block-a,StaticNetwork,Network
{},103,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,103,1000000,{},,block-a,StaticNetwork,Network
